
TRX_ID      CLI_ID      TRX_TIPO TRX_VALOR   DT_PROCESSAMENTO
----------- ----------- -------- ----------- ----------------
          1         123 C               500. 06/20/2026      
          2         123 D               200. 06/20/2026      
          6         456 D              3000. 06/20/2026      
          7         456 D              1000. 06/20/2026      
          8         456 C              2500. 06/20/2026      
          9         789 C               300. 06/20/2026      
         11         789 D               700. 06/20/2026      
         13         888 C              2000. 06/20/2026      
         14         888 D              1000. 06/20/2026      
         16        1111 D               500. 06/20/2026      
         17        1111 D              7500. 06/20/2026      
         20        1234 C              2000. 06/20/2026      
         21        1234 D              1000. 06/20/2026      
         23        2020 C              1250. 06/20/2026      
         24        1010 D              2500. 06/20/2026      
         25        1010 C              1000. 06/20/2026      
         26        2020 D              5000. 06/20/2026      
         30        4040 C              1000. 06/20/2026      
         32        4040 D              3000. 06/20/2026      

  19 record(s) selected.

